Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(SST),P (SST),Q (SST),S (SST)
225,13.3527,-8.0334,0.8569,13.349,-1.2686,0.9955,13.1645,6.7644,15.0
226,13.3779,-8.0333,0.8573,13.3744,-1.2557,0.9956,13.1892,6.7771,15.0
227,13.1367,-8.0351,0.8531,13.1323,-1.3785,0.9945,12.9539,6.6561,15.0
228,12.5889,-8.0393,0.8428,12.5829,-1.6575,0.9914,12.4192,6.3814,14.0
229,13.3066,-8.0338,0.8561,13.3036,-1.2917,0.9953,13.1204,6.7417,15.0
230,13.5001,-8.0323,0.8594,13.4972,-1.1935,0.9961,13.3085,6.8384,15.0
231,13.8077,-8.03,0.8644,13.8058,-1.0371,0.9972,13.6082,6.9924,15.0
232,13.7697,-8.0302,0.8638,13.7673,-1.0566,0.9971,13.5709,6.9732,15.0
233,13.3234,-8.0337,0.8564,13.3193,-1.2837,0.9954,13.1357,6.7496,15.0
234,12.1825,-8.0424,0.8345,12.1749,-1.8648,0.9885,12.0218,6.1772,14.0
235,14.1532,-8.0273,0.8698,14.1541,-0.8608,0.9982,13.9462,7.166,16.0
236,13.939,-8.0289,0.8665,13.937,-0.9707,0.9976,13.7356,7.0578,15.0
237,14.7721,-8.0226,0.8788,14.774,-0.5473,0.9993,14.547,7.4747,16.0
238,14.2991,-8.0262,0.872,14.298,-0.788,0.9985,14.0857,7.2377,16.0
239,13.2861,-8.034,0.8557,13.2814,-1.3029,0.9952,13.0988,6.7306,15.0
240,15.1481,-8.0197,0.8838,15.1524,-0.3562,0.9997,14.9133,7.663,17.0
241,15.602,-8.0162,0.8895,15.6066,-0.127,1.0,15.3525,7.8887,17.0
242,14.5065,-8.0246,0.875,14.5055,-0.683,0.9989,14.2869,7.3411,16.0
243,14.6936,-8.0232,0.8777,14.6945,-0.5875,0.9992,14.47,7.4352,16.0
244,15.9338,-8.0136,0.8934,15.9406,0.0414,1.0,15.6752,8.0545,18.0
245,14.8426,-8.022,0.8797,14.8428,-0.5126,0.9994,14.6136,7.509,16.0
246,14.7795,-8.0225,0.8789,14.7805,-0.544,0.9993,14.5533,7.478,16.0
247,14.6338,-8.0236,0.8768,14.6341,-0.618,0.9991,14.4115,7.4051,16.0
248,16.3362,-8.0106,0.8979,16.3453,0.2452,0.9999,16.0658,8.2552,18.0
249,16.3581,-8.0104,0.8981,16.3654,0.2553,0.9999,16.0852,8.2651,18.0
250,15.4917,-8.017,0.8881,15.4944,-0.1836,0.9999,15.2441,7.8329,17.0
251,14.8015,-8.0223,0.8792,14.8019,-0.5332,0.9994,14.574,7.4886,16.0
252,15.7744,-8.0149,0.8915,15.7803,-0.0394,1.0,15.5204,7.9749,17.0
253,15.7014,-8.0154,0.8907,15.7058,-0.077,1.0,15.4484,7.9379,17.0
254,16.1588,-8.0119,0.8959,16.1657,0.1548,1.0,15.8926,8.1661,18.0
255,16.1413,-8.012,0.8957,16.1476,0.1456,1.0,15.875,8.1571,18.0
256,16.1732,-8.0118,0.8961,16.1797,0.1618,0.9999,15.9061,8.1731,18.0
257,16.4878,-8.0094,0.8995,16.496,0.321,0.9998,16.2112,8.3299,18.0
258,17.1726,-8.0041,0.9064,17.1844,0.6672,0.9992,16.8745,8.6707,19.0
259,16.8172,-8.0069,0.9029,16.826,0.487,0.9996,16.5294,8.4933,19.0
260,14.9824,-8.0209,0.8816,14.9822,-0.4421,0.9996,14.7486,7.5783,17.0
261,16.9809,-8.0056,0.9045,16.9933,0.5711,0.9994,16.6905,8.5761,19.0
262,17.0984,-8.0047,0.9057,17.1092,0.6294,0.9993,16.8021,8.6335,19.0
263,18.239,-7.996,0.9159,18.2567,1.2051,0.9978,17.9056,9.2005,20.0
264,17.2166,-8.0038,0.9068,17.2265,0.6883,0.9992,16.915,8.6915,19.0
265,16.8985,-8.0062,0.9037,16.9078,0.5281,0.9995,16.6081,8.5338,19.0
266,17.5873,-8.001,0.9102,17.6011,0.8764,0.9988,17.2755,8.8767,19.0
267,17.0754,-8.0049,0.9054,17.0853,0.6174,0.9993,16.7791,8.6217,19.0
268,18.9793,-7.9903,0.9217,19.0021,1.5783,0.9966,18.6207,9.5679,21.0
269,18.0449,-7.9975,0.9142,18.059,1.106,0.9981,17.7157,9.1029,20.0
270,18.9447,-7.9906,0.9214,18.966,1.5602,0.9966,18.586,9.5501,21.0
271,18.3759,-7.9949,0.917,18.3922,1.273,0.9976,18.0356,9.2673,20.0
272,17.2009,-8.0039,0.9067,17.2106,0.6803,0.9992,16.8997,8.6837,19.0
273,19.5775,-7.9857,0.9259,19.6045,1.8793,0.9954,19.1976,9.8643,22.0
274,19.1677,-7.9889,0.923,19.1886,1.6715,0.9962,18.7993,9.6597,21.0
275,18.426,-7.9945,0.9174,18.4424,1.2981,0.9975,18.0838,9.292,20.0
276,18.0005,-7.9978,0.9139,18.015,1.084,0.9982,17.6733,9.0812,20.0
277,19.0229,-7.99,0.922,19.0448,1.5996,0.9965,18.6616,9.5889,21.0
278,18.4636,-7.9943,0.9177,18.4803,1.3171,0.9975,18.1202,9.3108,20.0
279,18.8566,-7.9913,0.9207,18.8768,1.5156,0.9968,18.5005,9.5062,21.0
280,18.8436,-7.9914,0.9206,18.8632,1.5088,0.9968,18.4874,9.4995,21.0
281,20.3472,-7.9799,0.931,20.3778,2.2651,0.9939,19.937,10.2443,22.0
282,20.0268,-7.9823,0.9289,20.0529,2.1031,0.9945,19.6265,10.0847,22.0
283,18.8559,-7.9913,0.9207,18.874,1.5142,0.9968,18.4978,9.5048,21.0
284,20.0453,-7.9822,0.9291,20.0736,2.1134,0.9945,19.6463,10.0949,22.0
285,21.7429,-7.9692,0.9389,21.7832,2.9645,0.9908,21.2771,10.9329,24.0
286,21.1336,-7.9738,0.9356,21.1663,2.6578,0.9922,20.6894,10.6309,23.0
287,20.098,-7.9818,0.9294,20.1235,2.1383,0.9944,19.694,10.1194,22.0
288,20.6169,-7.9778,0.9326,20.6478,2.3997,0.9933,20.1948,10.3768,23.0
289,19.5746,-7.9858,0.9259,19.597,1.8756,0.9954,19.1904,9.8606,22.0
290,21.7619,-7.969,0.939,21.8031,2.9743,0.9908,21.296,10.9426,24.0
291,21.866,-7.9683,0.9396,21.9047,3.0248,0.9906,21.3928,10.9923,24.0
