Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(TR),P Global (TR),Q Global (TR),FP Global(TR),P Global (SST),Q Global(SST),FP Global (SST),P (SST),Q (SST)
119,19.8995,5.098,0.9687,19.8553,-4.4364,0.976,59.7274,15.3055,0.9687,118.0386,15.0104,0.992,19.4912,0.0017,19.0
120,20.6816,5.5004,0.9664,20.63,-4.4037,0.9781,62.0691,16.5111,0.9664,122.6009,16.1926,0.9914,20.2374,0.0017,20.0
121,19.6839,4.9859,0.9694,19.6308,-4.4457,0.9754,59.0489,14.9566,0.9694,116.7156,14.6681,0.9922,19.2747,0.0017,19.0
122,21.1605,5.7469,0.965,21.1016,-4.3832,0.9792,63.4949,17.2463,0.965,125.3763,16.913,0.991,20.691,0.0017,21.0
123,20.1104,5.2053,0.9681,20.0538,-4.4281,0.9766,60.3273,15.6141,0.9681,119.2077,15.3131,0.9919,19.6825,0.0017,20.0
124,22.4361,6.406,0.9616,22.3666,-4.3263,0.9819,67.322,19.2239,0.9616,132.8165,18.8491,0.9901,21.9061,0.0018,22.0
125,20.1586,5.2305,0.9679,20.1061,-4.4259,0.9767,60.4854,15.6955,0.9679,119.5159,15.3929,0.9918,19.7329,0.0017,20.0
126,21.814,6.0843,0.9632,21.7496,-4.3544,0.9807,65.4551,18.2585,0.9632,129.189,17.9043,0.9905,21.3139,0.0018,21.0
127,20.2995,5.3031,0.9675,20.2463,-4.42,0.9771,60.909,15.9135,0.9675,120.3413,15.6067,0.9917,19.8679,0.0017,20.0
128,20.823,5.5731,0.966,20.7689,-4.3977,0.9784,62.489,16.7275,0.966,123.4185,16.4047,0.9913,20.371,0.0017,20.0
129,19.3119,4.7953,0.9705,19.266,-4.4605,0.9743,57.9466,14.3901,0.9705,114.5654,14.1122,0.9925,18.9228,0.0017,19.0
130,21.9327,6.1457,0.9629,21.8677,-4.3491,0.9809,65.8124,18.4431,0.9629,129.8835,18.085,0.9904,21.4273,0.0018,21.0
131,18.8725,4.5697,0.9719,18.8291,-4.478,0.973,56.627,13.7127,0.9719,111.99,13.4471,0.9929,18.5011,0.0017,19.0
132,20.0049,5.1516,0.9684,19.9548,-4.4323,0.9763,60.028,15.4601,0.9684,118.6245,15.162,0.9919,19.5871,0.0017,20.0
133,20.7056,5.5127,0.9663,20.6534,-4.4027,0.9781,62.1398,16.5475,0.9663,122.7386,16.2283,0.9914,20.2599,0.0017,20.0
134,20.8101,5.5662,0.966,20.7539,-4.3983,0.9784,62.4438,16.7042,0.966,123.3304,16.3818,0.9913,20.3566,0.0017,20.0
135,21.4155,5.8788,0.9643,21.3571,-4.372,0.9798,64.2678,17.6452,0.9643,126.8802,17.3038,0.9908,20.9367,0.0017,21.0
136,19.6043,4.9455,0.9696,19.5561,-4.4487,0.9752,58.8233,14.8406,0.9696,116.2756,14.5543,0.9923,19.2027,0.0017,19.0
137,21.9635,6.1616,0.9628,21.8982,-4.3477,0.981,65.9046,18.4907,0.9628,130.0626,18.1317,0.9904,21.4565,0.0018,21.0
138,19.9975,5.1477,0.9684,19.9464,-4.4326,0.9763,60.0026,15.447,0.9684,118.575,15.1492,0.9919,19.579,0.0017,20.0
139,20.1883,5.2461,0.9679,20.1374,-4.4246,0.9768,60.58,15.7442,0.9678,119.7002,15.4406,0.9918,19.763,0.0017,20.0
140,21.4886,5.9162,0.9641,21.4269,-4.3689,0.98,64.4789,17.7542,0.9641,127.2906,17.4105,0.9908,21.0038,0.0017,21.0
141,19.9988,5.1484,0.9684,19.9478,-4.4325,0.9763,60.0068,15.4492,0.9684,118.5832,15.1514,0.9919,19.5803,0.0017,20.0
142,20.223,5.2639,0.9678,20.172,-4.4232,0.9769,60.6845,15.7979,0.9677,119.9038,15.4934,0.9918,19.7963,0.0017,20.0
143,20.2129,5.2586,0.9678,20.1608,-4.4236,0.9769,60.6506,15.7805,0.9678,119.8378,15.4763,0.9918,19.7855,0.0017,20.0
144,20.2128,5.2586,0.9678,20.1608,-4.4236,0.9769,60.6506,15.7805,0.9678,119.8378,15.4763,0.9918,19.7855,0.0017,20.0
